NAME,ADDRESS,CATEGORY,DESCRIPTION,COUNTY,LATITUDE,LONGITUDE,RATING
"The Mureș Natural Floodplain Park","Arad, Romania","Attraction","The Mureș Floodplain Natural Park, set aside by the Romanian government in 2005, is located in western Romania outside the city of Arad. The park covers 17,455 ha and follows the Mureş River westward from the city of Arad to the Hungarian border. The park is a typical ecosystem for wetlands, with running waters, lakes, swamps and floodplains, with forests, an important place for the passage and nesting of bird species and is subjected to periodical floods (a flood every three years). The forests (7,500 ha) in the park are made up primarily of common oak, narrow-leafed ash, black and white poplar, white willow, and American black walnut. This area is an important place for nesting and passage for nearly 200 species of birds, most of which are strictly protected internationally.","Arad",0,0,0
"Bezdin Monastery","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
"Hodoș-Bodrog Monastery (est. 1177)","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
"Lipova resort and city","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
"Șoimoș, Dezna, Șiria stone citadels","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
"Moneasa resort","Arad, Romania","Attraction","Moneasa (Hungarian: Menyháza) is a commune in Arad County, Romania, is situated at the foot of Codru-Moma Mountains. Its administrative surface stretches over 6824 hectares and it is composed of two villages, Moneasa (situated at 102 km from Arad) and Rănușa (Kisróna).","Arad",0,0,0
"The areas around Săvârșin, Petriș, Macea and Pecica.","Arad, Romania","Attraction","Arad County (Romanian pronunciation: [aˈrad] (listen)) is an administrative division (judeţ) of Romania roughly translated into county in the western part of the country on the border with Hungary, mostly in the region of Crișana and few villages in Banat. The administrative center of the county lies in the city of Arad. The Arad County is part of the Danube–Criș–Mureș–Tisa Euroregion.","Arad",0,0,0
"The city of Pitești","Argeș, Romania","Attraction","Pitești (Romanian pronunciation: [piˈteʃtʲ]) is a city in Romania, located on the Argeș River. The capital and largest city of Argeș County, it is an important commercial and industrial center, as well as the home of two universities. Pitești is situated in the historical region of Muntenia. It lies on the A1 freeway connecting the city directly to the national capital Bucharest, being an important railway junction, with a classification yard in nearby Bălilești. The city houses the Arpechim oil refinery, and is a marketing center for the automotive industry, in particular Automobile Dacia.","Argeș",0,0,0
"The city of Curtea de Argeș, where one of the most well known monasteries in Romania is located","Argeș, Romania","Attraction","Curtea de Argeș (Romanian pronunciation: [ˌkurte̯a de ˈard͡ʒeʃ] (listen)) is a city in Romania on the left bank of the Argeş River, where it flows through a valley of the lower Carpathians (the Făgăraș Mountains), on the railway from Pitești to the Turnu Roșu Pass. It is part of Argeș County. The city also administers one village, Noapteș.","Argeș",0,0,0
"The Câmpulung – Rucăr area","Argeș, Romania","Attraction","N/A","Argeș",0,0,0
"The Făgăraș Mountains – the Transfăgărășan","Argeș, Romania","Attraction","Făgăraș Mountains (Romanian: Munții Făgărașului [ˈmunt͡sij fəɡəˈraʃuluj] , Hungarian: Fogaras hegység [ˈfoɡɒrɒʃ hɛɟˈʃeːɡ]), are the highest mountains of the Southern Carpathians, in Romania. The highest peaks are:","Argeș",0,0,0
"The Leaota Mountains","Argeș, Romania","Attraction","The Leaota Mountains are located in central Romania, north of the city Târgovişte. They are part of the Southern Carpathians group of the Carpathian Mountains, and have as neighbours the Bucegi Mountains to the east and Piatra Craiului to the west.","Argeș",0,0,0
"The Poienari Castle","Argeș, Romania","Attraction","Coordinates: 45°21′13.49″N 24°38′6.80″E","Argeș",0,0,0
"The Cotmeana monastery.","Argeș, Romania","Attraction","N/A","Argeș",0,0,0
"The cities of Bacău and Onești.","Bacău, Romania","Attraction","Onești (Romanian pronunciation: [oˈneʃtʲ]; Hungarian: Ónfalva) is a city in Bacău County, Romania, with a population of 39,172 inhabitants. It is situated in the historical region of Western Moldavia.","Bacău",0,0,0
"The resorts:","Bacău, Romania","Attraction","A resort (North American English) is a self-contained commercial establishment that tries to provide most of a vacationer's wants, such as food, drink, lodging, sports, entertainment, and shopping, on the premises. The term resort may be used for a hotel property that provides an array of amenities, typically including entertainment and recreational activities. A hotel is frequently a central feature of a resort, such as the Grand Hotel at Mackinac Island, Michigan. Some resorts are also condominium complexes that are timeshares or owed fractionally or wholly owned condominium. A resort is not always a commercial establishment operated by a single company, but in the late 20th century, that sort of facility became more common.","Bacău",0,0,0
"Slănic-Moldova","Bacău, Romania","Attraction","Slănic Moldova is a town and a spa resort in Bacău County, Romania. The town administers two villages, Cerdac and Cireșoaia.","Bacău",0,0,0
"Poiana Sărată","Bacău, Romania","Attraction","Oituz (formerly Grozești; Hungarian: Gorzafalva or Ojtoz) is a commune in Bacău County, Romania. It is composed of six villages: Călcâi (Zöldlonka), Ferestrău-Oituz (Fűrészfalva), Hârja (Herzsa), Marginea, Oituz and Poiana Sărată (Sósmező).","Bacău",0,0,0
"Târgu Ocna","Bacău, Romania","Attraction","Târgu Ocna (Romanian pronunciation: [ˌtɨrɡu ˈokna]) is a town in Bacău County, Romania, situated on the left bank of the Trotuș River, an affluent of the Siret, and on a branch railway which crosses the Ghimeș Pass from Moldavia into Transylvania. Târgu Ocna is built among the Carpathian Mountains on bare hills formed of rock salt. In fact the English translation of Ocna is salt mine.","Bacău",0,0,0
"Poiana Uzului","Bacău, Romania","Attraction","This is a list of dams and reservoirs in Romania.","Bacău",0,0,0
"The Nemira Mountains.","Bacău, Romania","Attraction","N/A","Bacău",0,0,0
"The city of Oradea.","Bihor, Romania","Attraction","N/A","Bihor",0,0,0
"The Apuseni Mountains:","Bihor, Romania","Attraction","The Apuseni Mountains (Romanian: Munții Apuseni, Hungarian: Erdélyi-középhegység) is a mountain range in Transylvania, Romania, which belongs to the Western Romanian Carpathians, also called Occidentali in Romanian. Their name translates from Romanian as Mountains of the sunset i.e. western. The highest peak is Cucurbăta Mare (Hungarian: Nagy-Bihar) at 1849 metres, also called Bihor Peak. The Apuseni Mountains have about 400 caves.","Bihor",0,0,0
"The Stâna de Vale Resort and the Iada valley.","Bihor, Romania","Attraction","N/A","Bihor",0,0,0
"The Caves around Padiș and on the Sighiștel River Valley.","Bihor, Romania","Attraction","N/A","Bihor",0,0,0
"The Bear's Cave.","Bihor, Romania","Attraction","N/A","Bihor",0,0,0
"Băile Felix Resort.","Bihor, Romania","Attraction","Băile Felix (Hungarian: Félixfürdő) is a thermal spa resort near the commune of Sânmartin in Bihor County, Transylvania, Romania. They are among the best known and most quality thermal spas in the country. Băile Felix is also at a close distance to Oradea, a major city in western Romania.","Bihor",0,0,0
"The city of Brașov.","Brașov, Romania","Attraction","N/A","Brașov",0,0,0
"Poiana Brașov mountain resort.","Brașov, Romania","Attraction","Poiana Brașov (Romanian pronunciation: [poˈjana braˈʃov]) is a neighborhood of Brasov and a Romanian ski resort popular among visitors from many European states. After the 2010s modernization, the ski area has expanded from 50 hectares to 80 hectares and the slopes length was increased from 13.8 km to 23.9 km. most slopes now have snow cannons installed. In 2013, it hosted figure skating, alpine skiing and short track in the European Youth Olympic Winter Festival.","Brașov",0,0,0
"Predeal mountain resort.","Brașov, Romania","Attraction","N/A","Brașov",0,0,0
"Bran with its castle often referred to as Dracula's castle.","Brașov, Romania","Attraction","Bran Castle (Romanian: Castelul Bran; German: Törzburg; Hungarian: Törcsvár), situated near Bran and in the immediate vicinity of Brașov, is a national monument and landmark in Romania. The fortress is situated on the border between Transylvania and Wallachia, on DN73.","Brașov",0,0,0
"The Făgăraș Mountains.","Brașov, Romania","Attraction","Făgăraș Mountains (Romanian: Munții Făgărașului [ˈmunt͡sij fəɡəˈraʃuluj] , Hungarian: Fogaras hegység [ˈfoɡɒrɒʃ hɛɟˈʃeːɡ]), are the highest mountains of the Southern Carpathians, in Romania. The highest peaks are:","Brașov",0,0,0
"The medieval fortresses of Făgăraș and Râșnov.","Brașov, Romania","Attraction","Brașov County (Romanian pronunciation: [braˈʃov] (listen)) is a county (județ) of Romania, in Transylvania, with the capital city at Brașov. The county incorporates within its boundaries most of the Medieval lands (țări) Burzenland and Făgăraș.","Brașov",0,0,0
